Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF_6V3_1210","SmartSpinner_100uF_6V3_1210",136.000000,-94.000000,0.000000,bottom
"C2","100uF_6V3_1210","SmartSpinner_100uF_6V3_1210",94.000000,-64.000000,-90.000000,bottom
"C3","100uF_6V3_1210","SmartSpinner_100uF_6V3_1210",64.000000,-106.000000,180.000000,bottom
"C4","100uF_6V3_1210","SmartSpinner_100uF_6V3_1210",106.000000,-136.000000,90.000000,bottom
"JBAT1","BATTERY_PADS","SmartSpinner_BATTERY_PADS",82.000000,-104.000000,0.000000,bottom
"JDBG1","SWD_PADS","SmartSpinner_SWD_PADS",104.000000,-118.000000,0.000000,bottom
"JUSB1","USB_CHARGE_PADS","SmartSpinner_USB_CHARGE_PADS",123.000000,-107.000000,0.000000,bottom
"U1","MDBT50Q-1MV2","SmartSpinner_MDBT50Q-1MV2",122.000000,-95.500000,90.000000,bottom
"U2","74AHCT125PW_TOP","SmartSpinner_74AHCT125PW_TOP",84.000000,-92.000000,0.000000,bottom
"U3","TPS61023DRL","SmartSpinner_TPS61023DRL",84.000000,-106.000000,0.000000,bottom
"U4","TPS7A2033PDBV","SmartSpinner_TPS7A2033PDBV",108.000000,-114.000000,0.000000,bottom
"U5","MCP73831-2ACI_OT","SmartSpinner_MCP73831-2ACI_OT",116.000000,-106.000000,0.000000,bottom
"U6","DRV5033AJQLPGM","SmartSpinner_DRV5033AJQLPGM",103.000000,-116.000000,0.000000,bottom
"U7","BMI270","SmartSpinner_BMI270",95.000000,-86.800000,0.000000,bottom
"U8","TPS22918DBVR","SmartSpinner_TPS22918DBVR",85.000000,-103.000000,0.000000,bottom
"U9","74AHCT125PW_TIP","SmartSpinner_74AHCT125PW_TIP",84.000000,-116.000000,0.000000,bottom
"D1","SK6805-EC15","SmartSpinner_SK6805-EC15",113.200000,-103.000000,0.000000,top
"D2","SK6805-EC15","SmartSpinner_SK6805-EC15",114.800000,-103.000000,0.000000,top
"D3","SK6805-EC15","SmartSpinner_SK6805-EC15",116.400000,-103.000000,0.000000,top
"D4","SK6805-EC15","SmartSpinner_SK6805-EC15",118.000000,-103.000000,0.000000,top
"D5","SK6805-EC15","SmartSpinner_SK6805-EC15",119.600000,-103.000000,0.000000,top
"D6","SK6805-EC15","SmartSpinner_SK6805-EC15",121.200000,-103.000000,0.000000,top
"D7","SK6805-EC15","SmartSpinner_SK6805-EC15",122.800000,-103.000000,0.000000,top
"D8","SK6805-EC15","SmartSpinner_SK6805-EC15",124.400000,-103.000000,0.000000,top
"D9","SK6805-EC15","SmartSpinner_SK6805-EC15",126.000000,-103.000000,0.000000,top
"D10","SK6805-EC15","SmartSpinner_SK6805-EC15",127.600000,-103.000000,0.000000,top
"D11","SK6805-EC15","SmartSpinner_SK6805-EC15",129.200000,-103.000000,0.000000,top
"D12","SK6805-EC15","SmartSpinner_SK6805-EC15",130.800000,-103.000000,0.000000,top
"D13","SK6805-EC15","SmartSpinner_SK6805-EC15",132.400000,-103.000000,0.000000,top
"D14","SK6805-EC15","SmartSpinner_SK6805-EC15",134.000000,-103.000000,0.000000,top
"D15","SK6805-EC15","SmartSpinner_SK6805-EC15",135.600000,-103.000000,0.000000,top
"D16","SK6805-EC15","SmartSpinner_SK6805-EC15",137.200000,-103.000000,0.000000,top
"D17","SK6805-EC15","SmartSpinner_SK6805-EC15",138.800000,-103.000000,0.000000,top
"D18","SK6805-EC15","SmartSpinner_SK6805-EC15",140.400000,-103.000000,0.000000,top
"D19","SK6805-EC15","SmartSpinner_SK6805-EC15",142.000000,-103.000000,0.000000,top
"D20","SK6805-EC15","SmartSpinner_SK6805-EC15",143.600000,-103.000000,0.000000,top
"D21","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-86.800000,-90.000000,top
"D22","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-85.200000,-90.000000,top
"D23","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-83.600000,-90.000000,top
"D24","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-82.000000,-90.000000,top
"D25","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-80.400000,-90.000000,top
"D26","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-78.800000,-90.000000,top
"D27","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-77.200000,-90.000000,top
"D28","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-75.600000,-90.000000,top
"D29","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-74.000000,-90.000000,top
"D30","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-72.400000,-90.000000,top
"D31","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-70.800000,-90.000000,top
"D32","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-69.200000,-90.000000,top
"D33","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-67.600000,-90.000000,top
"D34","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-66.000000,-90.000000,top
"D35","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-64.400000,-90.000000,top
"D36","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-62.800000,-90.000000,top
"D37","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-61.200000,-90.000000,top
"D38","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-59.600000,-90.000000,top
"D39","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-58.000000,-90.000000,top
"D40","SK6805-EC15","SmartSpinner_SK6805-EC15",103.000000,-56.400000,-90.000000,top
"D41","SK6805-EC15","SmartSpinner_SK6805-EC15",86.800000,-97.000000,180.000000,top
"D42","SK6805-EC15","SmartSpinner_SK6805-EC15",85.200000,-97.000000,180.000000,top
"D43","SK6805-EC15","SmartSpinner_SK6805-EC15",83.600000,-97.000000,180.000000,top
"D44","SK6805-EC15","SmartSpinner_SK6805-EC15",82.000000,-97.000000,180.000000,top
"D45","SK6805-EC15","SmartSpinner_SK6805-EC15",80.400000,-97.000000,180.000000,top
"D46","SK6805-EC15","SmartSpinner_SK6805-EC15",78.800000,-97.000000,180.000000,top
"D47","SK6805-EC15","SmartSpinner_SK6805-EC15",77.200000,-97.000000,180.000000,top
"D48","SK6805-EC15","SmartSpinner_SK6805-EC15",75.600000,-97.000000,180.000000,top
"D49","SK6805-EC15","SmartSpinner_SK6805-EC15",74.000000,-97.000000,180.000000,top
"D50","SK6805-EC15","SmartSpinner_SK6805-EC15",72.400000,-97.000000,180.000000,top
"D51","SK6805-EC15","SmartSpinner_SK6805-EC15",70.800000,-97.000000,180.000000,top
"D52","SK6805-EC15","SmartSpinner_SK6805-EC15",69.200000,-97.000000,180.000000,top
