Ref,Val,Package,PosX,PosY,Rot,Side
"J1","MAIN_BOARD_SOLDER_4","SmartSpinner_MAIN_BOARD_SOLDER_4",102.450000,-100.000000,90.000000,bottom
"TD1","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-93.950000,0.000000,top
"TD2","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-95.050000,0.000000,top
"TD3","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-96.150000,0.000000,top
"TD4","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-97.250000,0.000000,top
"TD5","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-98.350000,0.000000,top
"TD6","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-99.450000,0.000000,top
"TD7","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-100.550000,0.000000,top
"TD8","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-101.650000,0.000000,top
"TD9","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-102.750000,0.000000,top
"TD10","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-103.850000,0.000000,top
"TD11","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-104.950000,0.000000,top
"TD12","SK6805-EC10","SmartSpinner_SK6805-EC10",100.000000,-106.050000,0.000000,top
